npi,last_name,first_name,credential,tenant_slug
1553479308,Okonkwo,Adaeze,MD,northgate
1746591985,Halvorsen,Ingrid,MD,northgate
1193919655,Ramaswamy,Nikhil,DO,northgate
1344210756,Bellweather,Corinne,MD,cedarpark
1490199209,Duquesne,Marisol,CNM,cedarpark
1001839756,Fairbanks,Theodora,MD,cedarpark
1524877085,Vasquez-Lin,Renata,MD,bluffcreek
1173640222,Achterberg,Joris,MD,bluffcreek
1440403628,Nakamura,Hideo,MD,bluffcreek
1178437897,Strand,Delphine,NP,bluffcreek
1202732156,Oyelaran,Babatunde,MD,harborview
1329986420,Kilbride,Fionnuala,MD,harborview
1076390479,Petrossian,Vartan,MD,harborview
1508372939,Whitlock,Ambrose,PA-C,harborview
